,Initialization,lambda,Repeat,Num Obs,Obs Dim,centroids_prior_cov_prefactor,likelihood_cov_prefactor,Num True Clusters,Runtime,Num Iter Till Convergence,Num Initial Clusters,Num Inferred Clusters,Loss,Rand Score,Adjusted Rand Score,Adjusted Mutual Info Score,Normalized Mutual Info Score
255,dp-means,0.007943282347242814,6,1000,13,10.0,1.0,10,0.39455705508589745,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
256,dp-means,0.015848931924611134,6,1000,13,10.0,1.0,10,0.39693348854780197,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
257,dp-means,0.03162277660168379,6,1000,13,10.0,1.0,10,0.39471297338604927,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
258,dp-means,0.0630957344480193,6,1000,13,10.0,1.0,10,0.3965747132897377,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
259,dp-means,0.12589254117941676,6,1000,13,10.0,1.0,10,0.3949743937700987,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
260,dp-means,0.25118864315095796,6,1000,13,10.0,1.0,10,0.3931556884199381,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
261,dp-means,0.501187233627272,6,1000,13,10.0,1.0,10,0.3959121126681566,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
262,dp-means,1.0,6,1000,13,10.0,1.0,10,0.39247584715485573,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
263,dp-means,1.9952623149688788,6,1000,13,10.0,1.0,10,0.39259883388876915,2,990,990,10889.699983648861,0.9006426426426426,0.00036281040011628486,0.0054076282325824995,0.5005291681189542
264,dp-means,3.981071705534969,6,1000,13,10.0,1.0,10,0.5317771788686514,5,300,301,14951.093101024959,0.9051631631631631,0.07939222666339313,0.4345975036449173,0.5953899414642424
265,dp-means,7.943282347242813,6,1000,13,10.0,1.0,10,0.41138957254588604,6,12,12,24024.29539726085,0.9914954954954955,0.9506094310941382,0.973225208697811,0.9738072024351546
266,dp-means,15.848931924611142,6,1000,13,10.0,1.0,10,0.2062305137515068,3,5,5,69180.58417781515,0.8455135135135136,0.4657275251671746,0.7207507591364443,0.7234281210895812
267,dp-means,31.622776601683793,6,1000,13,10.0,1.0,10,0.14296573773026466,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
268,dp-means,63.0957344480193,6,1000,13,10.0,1.0,10,0.19173653237521648,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
269,dp-means,125.89254117941663,6,1000,13,10.0,1.0,10,0.19140734896063805,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
270,dp-means,251.18864315095772,6,1000,13,10.0,1.0,10,0.1911853402853012,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
271,dp-means,501.18723362727246,6,1000,13,10.0,1.0,10,0.19204699993133545,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
272,dp-means,1000.0,6,1000,13,10.0,1.0,10,0.1918392013758421,2,1,1,155264.90889747403,0.09937737737737738,0.0,2.439278735338142e-16,0.0
273,dp-means++,0.001,6,1000,13,10.0,1.0,10,7.151758331805468,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
274,dp-means++,0.001995262314968879,6,1000,13,10.0,1.0,10,7.149762066081166,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
275,dp-means++,0.003981071705534973,6,1000,13,10.0,1.0,10,7.158651288598776,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
276,dp-means++,0.007943282347242814,6,1000,13,10.0,1.0,10,7.15413854084909,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
277,dp-means++,0.015848931924611134,6,1000,13,10.0,1.0,10,7.151142271235585,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
278,dp-means++,0.03162277660168379,6,1000,13,10.0,1.0,10,7.154388898983598,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
279,dp-means++,0.0630957344480193,6,1000,13,10.0,1.0,10,7.150119744241238,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
280,dp-means++,0.12589254117941676,6,1000,13,10.0,1.0,10,7.150716753676534,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
281,dp-means++,0.25118864315095796,6,1000,13,10.0,1.0,10,7.12047010846436,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
282,dp-means++,0.501187233627272,6,1000,13,10.0,1.0,10,7.187225250527263,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
283,dp-means++,1.0,6,1000,13,10.0,1.0,10,7.189506188035011,2,1000,1000,10880.999968617605,0.9006226226226226,0.0,1.169379521824911e-12,0.49977568399022415
284,dp-means++,1.9952623149688788,6,1000,13,10.0,1.0,10,7.166228789836168,2,997,997,10883.458414092878,0.9006286286286286,0.00010885541763690512,0.0016250247312071284,0.5000014909232153
