Num Initial Clusters,Num Inferred Clusters,Loss,_step,_wandb,_runtime,_timestamp,Adjusted Rand Score,Num Iter Till Convergence,Adjusted Mutual Info Score,Normalized Mutual Info Score,Runtime,Rand Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name
1.0,1.0,568977.0043348054,0.0,{'runtime': 3},2.0,1641330630.0,0.0,2.0,-6.591644296403819e-17,0.0,0.09271020255982876,0.04003403403403403,1000,25,29,1,dp-means++,100.0,10.0,10,finished,cngchcwr,solar-sweep-952
1.0,1.0,134422.30123645422,0.0,{'runtime': 3},1.0,1641330627.0,0.0,2.0,-3.374047563088763e-17,0.0,0.07002813182771206,0.03965565565565565,1000,25,7,0,dp-means++,100.0,10.0,10,finished,cngchcwr,playful-sweep-949
1.0,1.0,579374.4619320406,0.0,{'runtime': 3},1.0,1641330628.0,0.0,2.0,-3.374047563088763e-17,0.0,0.06004413403570652,0.03965565565565565,1000,25,29,0,dp-means++,100.0,10.0,10,finished,cngchcwr,bright-sweep-951
1.0,1.0,141193.4753545313,0.0,{'runtime': 3},1.0,1641330627.0,0.0,2.0,-6.591644296403819e-17,0.0,0.05259164795279503,0.04003403403403403,1000,25,7,1,dp-means++,100.0,10.0,10,finished,cngchcwr,gentle-sweep-950
1.0,1.0,566700.161430377,0.0,{'runtime': 3},2.0,1641330625.0,0.0,2.0,-2.054045494103695e-16,0.0,0.06504600867629051,0.19955755755755755,1000,5,29,1,dp-means++,100.0,10.0,10,finished,cngchcwr,fresh-sweep-948
1.0,1.0,585267.0834766745,0.0,{'runtime': 3},2.0,1641330625.0,0.0,2.0,4.617703779927493e-16,0.0,0.07408023998141289,0.1997957957957958,1000,5,29,0,dp-means++,100.0,10.0,10,finished,cngchcwr,laced-sweep-947
1.0,1.0,120295.64737885645,0.0,{'runtime': 3},2.0,1641330619.0,0.0,2.0,4.617703779927493e-16,0.0,0.06444140337407589,0.1997957957957958,1000,5,7,0,dp-means++,100.0,10.0,10,finished,cngchcwr,snowy-sweep-945
1.0,1.0,126544.19883224196,0.0,{'runtime': 3},2.0,1641330619.0,0.0,2.0,-2.054045494103695e-16,0.0,0.06384561210870743,0.19955755755755755,1000,5,7,1,dp-means++,100.0,10.0,10,finished,cngchcwr,driven-sweep-946
1.0,1.0,579374.4619320406,0.0,{'runtime': 3},1.0,1641330616.0,0.0,2.0,-3.374047563088763e-17,0.0,0.06820730678737164,0.03965565565565565,1000,25,29,0,dp-means++,50.0,10.0,10,finished,cngchcwr,dauntless-sweep-943
1.0,1.0,568977.0043348054,0.0,{'runtime': 3},2.0,1641330619.0,0.0,2.0,-6.591644296403819e-17,0.0,0.08401041105389595,0.04003403403403403,1000,25,29,1,dp-means++,50.0,10.0,10,finished,cngchcwr,genial-sweep-944
1.0,1.0,141193.4753545313,0.0,{'runtime': 3},2.0,1641330617.0,0.0,2.0,-6.591644296403819e-17,0.0,0.0824886579066515,0.04003403403403403,1000,25,7,1,dp-means++,50.0,10.0,10,finished,cngchcwr,genial-sweep-942
1.0,1.0,134422.30123645422,0.0,{'runtime': 3},1.0,1641330612.0,0.0,2.0,-3.374047563088763e-17,0.0,0.06568748131394386,0.03965565565565565,1000,25,7,0,dp-means++,50.0,10.0,10,finished,cngchcwr,true-sweep-941
1.0,1.0,566700.161430377,0.0,{'runtime': 3},2.0,1641330612.0,0.0,2.0,-2.054045494103695e-16,0.0,0.07966231368482113,0.19955755755755755,1000,5,29,1,dp-means++,50.0,10.0,10,finished,cngchcwr,proud-sweep-940
1.0,1.0,585267.0834766745,0.0,{'runtime': 2},2.0,1641330609.0,0.0,2.0,4.617703779927493e-16,0.0,0.12769385054707527,0.1997957957957958,1000,5,29,0,dp-means++,50.0,10.0,10,finished,cngchcwr,fancy-sweep-939
1.0,1.0,120295.64737885645,0.0,{'runtime': 3},2.0,1641330604.0,0.0,2.0,4.617703779927493e-16,0.0,0.06466948054730892,0.1997957957957958,1000,5,7,0,dp-means++,50.0,10.0,10,finished,cngchcwr,true-sweep-937
1.0,1.0,126544.19883224196,0.0,{'runtime': 3},3.0,1641330605.0,0.0,2.0,-2.054045494103695e-16,0.0,0.06556908413767815,0.19955755755755755,1000,5,7,1,dp-means++,50.0,10.0,10,finished,cngchcwr,worldly-sweep-938
1000.0,1000.0,10659.17693589474,0.0,{'runtime': 14},13.0,1641330611.0,0.0,2.0,1.7624996650085032e-12,0.6341075970488453,10.925562085583806,0.959965965965966,1000,25,29,1,dp-means++,10.0,10.0,10,finished,cngchcwr,magic-sweep-936
97.0,99.0,33279.86914083223,0.0,{'runtime': 3},2.0,1641330597.0,0.11244924627805788,9.0,0.322868141628458,0.5028885327139047,0.3025026358664036,0.953873873873874,1000,25,7,1,dp-means++,10.0,10.0,10,finished,cngchcwr,usual-sweep-934
1000.0,1000.0,11787.767562080448,0.0,{'runtime': 19},18.0,1641330613.0,0.0,2.0,1.819489963208398e-12,0.6347314222301335,16.387645566836,0.9603443443443443,1000,25,29,0,dp-means++,10.0,10.0,10,finished,cngchcwr,olive-sweep-935
91.0,95.0,34851.99064880608,0.0,{'runtime': 3},3.0,1641330594.0,0.08637185174117416,9.0,0.2600787403346729,0.45439047016290074,0.4126327633857727,0.9522642642642642,1000,25,7,0,dp-means++,10.0,10.0,10,finished,cngchcwr,radiant-sweep-933
1000.0,1000.0,52759.89374395645,0.0,{'runtime': 15},14.0,1641330603.0,0.0,2.0,4.66027910666101e-13,0.3777566775780946,12.46137043274939,0.8004424424424424,1000,5,29,1,dp-means++,10.0,10.0,10,finished,cngchcwr,flowing-sweep-932
1000.0,1000.0,72288.42212186864,0.0,{'runtime': 12},11.0,1641330601.0,0.0,2.0,6.782282883098306e-13,0.37764897361046734,9.213121822103858,0.8002042042042042,1000,5,29,0,dp-means++,10.0,10.0,10,finished,cngchcwr,worldly-sweep-931
54.0,58.0,39959.856717147166,0.0,{'runtime': 3},2.0,1641330588.0,0.056694146221164816,17.0,0.2656444279992586,0.29848961878104474,0.4753838162869215,0.8003503503503504,1000,5,7,0,dp-means++,10.0,10.0,10,finished,cngchcwr,dutiful-sweep-929
78.0,81.0,32756.61821417754,0.0,{'runtime': 3},2.0,1641330588.0,0.06786982897289125,11.0,0.3438002763555106,0.38356982993754263,0.45356723479926586,0.8053073073073073,1000,5,7,1,dp-means++,10.0,10.0,10,finished,cngchcwr,olive-sweep-930
1000.0,1000.0,10659.17693589474,0.0,{'runtime': 15},14.0,1641330599.0,0.0,2.0,1.7624996650085032e-12,0.6341075970488453,11.894744902849196,0.959965965965966,1000,25,29,1,dp-means++,5.0,10.0,10,finished,cngchcwr,super-sweep-928
1000.0,1000.0,11787.767562080448,0.0,{'runtime': 19},17.0,1641330597.0,0.0,2.0,1.819489963208398e-12,0.6347314222301335,15.692159043624995,0.9603443443443443,1000,25,29,0,dp-means++,5.0,10.0,10,finished,cngchcwr,crisp-sweep-927
714.0,716.0,3786.106235695088,0.0,{'runtime': 7},6.0,1641330585.0,0.009847631004366995,4.0,0.06283471816738231,0.6016516283942448,3.862039094790816,0.9596016016016016,1000,25,7,1,dp-means++,5.0,10.0,10,finished,cngchcwr,fragrant-sweep-926
643.0,644.0,8742.620939493512,0.0,{'runtime': 5},4.0,1641330580.0,0.011350755286370104,4.0,0.06660653596076194,0.5862763839530106,2.359064944088459,0.9597557557557558,1000,25,7,0,dp-means++,5.0,10.0,10,finished,cngchcwr,wise-sweep-925
1000.0,1000.0,52759.89374395645,0.0,{'runtime': 14},13.0,1641330585.0,0.0,2.0,4.66027910666101e-13,0.3777566775780946,11.730285921599716,0.8004424424424424,1000,5,29,1,dp-means++,5.0,10.0,10,finished,cngchcwr,worthy-sweep-924
