Adjusted Rand Score,Num Initial Clusters,_step,_runtime,_timestamp,Rand Score,Num Inferred Clusters,Num Iter Till Convergence,Adjusted Mutual Info Score,Normalized Mutual Info Score,Loss,_wandb,Runtime,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
0.0,1000.0,0.0,7.0,1641336213.0,0.9603443443443443,1000.0,2.0,1.819489963208398e-12,0.6347314222301335,916.9605050685492,{'runtime': 8},5.023206267505884,1000,25,3,0,dp-means++,0.1,50.0,10,finished,9h6ic3hn,smart-sweep-965,0.2
0.0,1000.0,0.0,7.0,1641336212.0,0.8004424424424424,1000.0,2.0,4.66027910666101e-13,0.3777566775780946,11483.889360716496,{'runtime': 8},5.688063288107514,1000,5,10,1,dp-means++,0.1,50.0,10,finished,9h6ic3hn,northern-sweep-964,0.2
0.0,1000.0,0.0,9.0,1641336209.0,0.8002042042042042,1000.0,2.0,6.782282883098306e-13,0.37764897361046734,12381.20539630162,{'runtime': 10},7.359788095578551,1000,5,10,0,dp-means++,0.1,50.0,10,finished,9h6ic3hn,firm-sweep-963,0.2
0.0,1000.0,0.0,6.0,1641336206.0,0.8004424424424424,1000.0,2.0,4.66027910666101e-13,0.3777566775780946,1403.305709875819,{'runtime': 8},4.866844641044736,1000,5,3,1,dp-means++,0.1,50.0,10,finished,9h6ic3hn,fallen-sweep-962,0.2
0.0,1000.0,0.0,7.0,1641336207.0,0.8002042042042042,1000.0,2.0,6.782282883098306e-13,0.37764897361046734,4228.398936744417,{'runtime': 9},5.951483368873596,1000,5,3,0,dp-means++,0.1,50.0,10,finished,9h6ic3hn,valiant-sweep-961,0.2
0.0,1.0,0.0,2.0,1641336199.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,207542.56929231383,{'runtime': 3},0.07478446140885353,1000,25,10,1,dp-means++,500.0,10.0,10,finished,9h6ic3hn,restful-sweep-960,1.0
0.0,1.0,0.0,2.0,1641336200.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,204697.183486117,{'runtime': 3},0.06512409821152687,1000,25,10,0,dp-means++,500.0,10.0,10,finished,9h6ic3hn,glorious-sweep-959,1.0
0.0,1.0,0.0,2.0,1641336198.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,64445.25908746585,{'runtime': 3},0.06460813991725445,1000,25,3,1,dp-means++,500.0,10.0,10,finished,9h6ic3hn,clear-sweep-958,1.0
0.0,1.0,0.0,2.0,1641336195.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,55269.74736957432,{'runtime': 3},0.1211124248802662,1000,25,3,0,dp-means++,500.0,10.0,10,finished,9h6ic3hn,divine-sweep-957,1.0
0.0,1.0,0.0,2.0,1641336193.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,195254.7614296987,{'runtime': 3},0.059089938178658485,1000,5,10,1,dp-means++,500.0,10.0,10,finished,9h6ic3hn,rose-sweep-956,1.0
0.0,1.0,0.0,2.0,1641336193.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,170450.56214988875,{'runtime': 3},0.057351795956492424,1000,5,10,0,dp-means++,500.0,10.0,10,finished,9h6ic3hn,still-sweep-955,1.0
0.0,1.0,0.0,2.0,1641336192.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,53701.85174278203,{'runtime': 3},0.054842276498675346,1000,5,3,1,dp-means++,500.0,10.0,10,finished,9h6ic3hn,floral-sweep-954,1.0
0.0,1.0,0.0,2.0,1641336193.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,207542.56929231383,{'runtime': 3},0.06774138659238815,1000,25,10,1,dp-means++,100.0,10.0,10,finished,9h6ic3hn,morning-sweep-952,1.0
0.0,1.0,0.0,2.0,1641336192.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,58106.08061588477,{'runtime': 2},0.06381749548017979,1000,5,3,0,dp-means++,500.0,10.0,10,finished,9h6ic3hn,youthful-sweep-953,1.0
0.0,1.0,0.0,2.0,1641336186.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,64445.25908746585,{'runtime': 3},0.06990212947130203,1000,25,3,1,dp-means++,100.0,10.0,10,finished,9h6ic3hn,ancient-sweep-950,1.0
0.0,1.0,0.0,2.0,1641336187.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,204697.183486117,{'runtime': 3},0.06770524382591248,1000,25,10,0,dp-means++,100.0,10.0,10,finished,9h6ic3hn,mild-sweep-951,1.0
