Num Iter Till Convergence,Loss,_wandb,Runtime,_timestamp,Adjusted Rand Score,Num Initial Clusters,Num Inferred Clusters,Adjusted Mutual Info Score,_step,_runtime,Rand Score,Normalized Mutual Info Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
2.0,11483.889360716496,{'runtime': 9},5.892411084845662,1641343006.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,0.5,50.0,10,finished,1s4yi7j8,radiant-sweep-972,0.2
2.0,12381.20539630162,{'runtime': 9},6.00648726709187,1641343006.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,0.5,50.0,10,finished,1s4yi7j8,curious-sweep-971,0.2
2.0,1403.305709875819,{'runtime': 7},4.51798134110868,1641343004.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,7.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,0.5,50.0,10,finished,1s4yi7j8,exalted-sweep-970,0.2
2.0,4228.398936744417,{'runtime': 7},4.761900207027793,1641343003.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,0.5,50.0,10,finished,1s4yi7j8,hopeful-sweep-969,0.2
2.0,5540.411441177597,{'runtime': 10},6.6854626554995775,1641343003.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,9.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,0.1,50.0,10,finished,1s4yi7j8,kind-sweep-968,0.2
2.0,919.9789875229172,{'runtime': 8},4.849015891551971,1641343002.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,7.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,0.1,50.0,10,finished,1s4yi7j8,vague-sweep-966,0.2
2.0,10559.372930266509,{'runtime': 9},5.964094813913107,1641343004.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,0.1,50.0,10,finished,1s4yi7j8,still-sweep-967,0.2
2.0,916.9605050685508,{'runtime': 9},5.703063976019621,1641343002.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,0.1,50.0,10,finished,1s4yi7j8,drawn-sweep-965,0.2
2.0,11483.889360716496,{'runtime': 9},7.178640015423298,1641342999.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,9.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,0.1,50.0,10,finished,1s4yi7j8,fancy-sweep-964,0.2
2.0,12381.20539630162,{'runtime': 8},5.339441608637571,1641342995.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,0.1,50.0,10,finished,1s4yi7j8,sparkling-sweep-963,0.2
2.0,1403.305709875818,{'runtime': 8},5.412518249824643,1641342992.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,0.1,50.0,10,finished,1s4yi7j8,flowing-sweep-962,0.2
2.0,4228.398936744417,{'runtime': 9},5.752123691141605,1641342990.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,0.1,50.0,10,finished,1s4yi7j8,dark-sweep-961,0.2
2.0,9353.881215471309,{'runtime': 9},6.336014278233051,1641342985.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,500.0,10.0,10,finished,1s4yi7j8,zesty-sweep-959,1.0
2.0,5321.619918986742,{'runtime': 8},5.722451040521264,1641342985.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,500.0,10.0,10,finished,1s4yi7j8,lyric-sweep-960,1.0
2.0,809.5334352538692,{'runtime': 9},5.940847231075168,1641342985.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,500.0,10.0,10,finished,1s4yi7j8,stilted-sweep-958,1.0
2.0,636.3450685232825,{'runtime': 8},4.631468489766121,1641342983.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,7.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,500.0,10.0,10,finished,1s4yi7j8,solar-sweep-957,1.0
2.0,10888.146224020558,{'runtime': 10},7.056683860719204,1641342983.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,9.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,500.0,10.0,10,finished,1s4yi7j8,stellar-sweep-956,1.0
