Num Initial Clusters,Adjusted Mutual Info Score,Normalized Mutual Info Score,Loss,_runtime,_timestamp,Adjusted Rand Score,Num Inferred Clusters,Num Iter Till Convergence,_step,_wandb,Runtime,Rand Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
989.0,0.002663113244062207,0.6337685423630258,29340.623254465125,8.0,1641676530.0,0.0003596492932238363,989.0,2.0,0.0,{'runtime': 9},5.964442929252982,0.9603383383383384,1000,25,10,0,dp-means++,10.0,50,30,finished,jy4gzpi5,elated-sweep-2263,0.6
971.0,0.008028828264418846,0.37695481181186025,34212.52708367018,7.0,1641676528.0,0.00032123873355033306,971.0,2.0,0.0,{'runtime': 8},5.366700295358896,0.8004704704704705,1000,5,10,1,dp-means++,10.0,50,30,finished,jy4gzpi5,golden-sweep-2260,0.6
1000.0,1.395569149128674e-12,0.6938612227032481,5210.863799148787,9.0,1641676527.0,0.0,1000.0,2.0,0.0,{'runtime': 10},7.160837858915329,0.974958958958959,1000,40,10,1,dp-means++,5.0,50,30,finished,jy4gzpi5,dark-sweep-2256,0.6
971.0,0.007736594879893408,0.3766228290105298,37169.77394473615,8.0,1641676527.0,0.00029667066304216,971.0,2.0,0.0,{'runtime': 9},6.200425228103995,0.8002262262262262,1000,5,10,0,dp-means++,10.0,50,30,finished,jy4gzpi5,dulcet-sweep-2259,0.6
41.0,0.11716716275517416,0.15211553439873152,28954.7141792748,2.0,1641676520.0,0.02572685269460416,50.0,22.0,0.0,{'runtime': 3},0.7232087571173906,0.7876736736736737,1000,5,3,0,dp-means++,10.0,50,30,finished,jy4gzpi5,zany-sweep-2257,0.6
45.0,0.16086146482997127,0.19728735008072493,21750.275349580486,2.0,1641676520.0,0.03438728680295904,55.0,23.0,0.0,{'runtime': 4},0.8441776540130377,0.7916636636636637,1000,5,3,1,dp-means++,10.0,50,30,finished,jy4gzpi5,frosty-sweep-2258,0.6
1000.0,2.3502046841181017e-12,0.6946742780443729,9298.53491614784,13.0,1641676530.0,0.0,1000.0,2.0,0.0,{'runtime': 12},9.153484356123954,0.9753393393393394,1000,40,10,0,dp-means++,5.0,50,30,finished,jy4gzpi5,ruby-sweep-2255,0.6
207.0,0.05681941016538568,0.46730342961831794,9112.619638508671,4.0,1641676521.0,0.014410723452778829,210.0,11.0,0.0,{'runtime': 4},1.04965453222394,0.968038038038038,1000,40,3,1,dp-means++,5.0,50,30,finished,jy4gzpi5,rich-sweep-2254,0.6
213.0,0.05084279146040176,0.4699351356633627,6554.180606343543,3.0,1641676520.0,0.013526303604545886,215.0,7.0,0.0,{'runtime': 3},0.7614218238741159,0.9691091091091092,1000,40,3,0,dp-means++,5.0,50,30,finished,jy4gzpi5,spring-sweep-2253,0.6
1000.0,1.7624996650085032e-12,0.6341075970488453,16062.283712352342,9.0,1641676524.0,0.0,1000.0,2.0,0.0,{'runtime': 9},6.577276933938265,0.959965965965966,1000,25,10,1,dp-means++,5.0,50,30,finished,jy4gzpi5,peach-sweep-2252,0.6
1000.0,1.819489963208398e-12,0.6347314222301335,28875.226345147577,10.0,1641676523.0,0.0,1000.0,2.0,0.0,{'runtime': 11},7.64339392259717,0.9603443443443443,1000,25,10,0,dp-means++,5.0,50,30,finished,jy4gzpi5,polar-sweep-2251,0.6
221.0,0.0676408565045331,0.4180999659316684,7950.3246820927425,2.0,1641676515.0,0.013102523387006898,225.0,9.0,0.0,{'runtime': 3},0.8105821777135134,0.9543743743743744,1000,25,3,1,dp-means++,5.0,50,30,finished,jy4gzpi5,lively-sweep-2250,0.6
192.0,0.056215767188866346,0.38642178363683327,7782.946526547933,3.0,1641676519.0,0.011736500362628856,200.0,12.0,0.0,{'runtime': 4},1.0587856210768225,0.9528148148148148,1000,25,3,0,dp-means++,5.0,50,30,finished,jy4gzpi5,silvery-sweep-2249,0.6
1000.0,6.782282883098306e-13,0.37764897361046734,35938.04003099006,7.0,1641676513.0,0.0,1000.0,2.0,0.0,{'runtime': 8},5.4529673010110855,0.8002042042042042,1000,5,10,0,dp-means++,5.0,50,30,finished,jy4gzpi5,morning-sweep-2247,0.6
1000.0,4.66027910666101e-13,0.3777566775780946,33035.18993174401,10.0,1641676516.0,0.0,1000.0,2.0,0.0,{'runtime': 10},7.830076023936272,0.8004424424424424,1000,5,10,1,dp-means++,5.0,50,30,finished,jy4gzpi5,dutiful-sweep-2248,0.6
184.0,0.1083570271348784,0.21838189268774189,8807.065904515557,2.0,1641676503.0,0.010853641461700512,187.0,19.0,0.0,{'runtime': 3},0.8593762367963791,0.7976856856856857,1000,5,3,1,dp-means++,5.0,50,30,finished,jy4gzpi5,worldly-sweep-2246,0.6
169.0,0.08086927178980016,0.1874566717836918,13064.02978589267,2.0,1641676500.0,0.008042694413071226,172.0,7.0,0.0,{'runtime': 3},0.5991545282304287,0.7964824824824824,1000,5,3,0,dp-means++,5.0,50,30,finished,jy4gzpi5,daily-sweep-2245,0.6
1000.0,1.395569149128674e-12,0.6938612227032481,5210.863799148787,10.0,1641676509.0,0.0,1000.0,2.0,0.0,{'runtime': 11},8.100326538085938,0.974958958958959,1000,40,10,1,dp-means++,1.0,50,30,finished,jy4gzpi5,apricot-sweep-2244,0.6
1000.0,2.3502046841181017e-12,0.6946742780443729,9298.534916147848,9.0,1641676505.0,0.0,1000.0,2.0,0.0,{'runtime': 9},6.598374521359801,0.9753393393393394,1000,40,10,0,dp-means++,1.0,50,30,finished,jy4gzpi5,legendary-sweep-2243,0.6
945.0,-0.0003983001104754365,0.6843794642857324,3501.9222274066033,8.0,1641676504.0,-7.599804289933747e-05,945.0,2.0,0.0,{'runtime': 9},5.500985419377685,0.9748448448448448,1000,40,3,1,dp-means++,1.0,50,30,finished,jy4gzpi5,ethereal-sweep-2242,0.6
942.0,-0.0004821269643673427,0.6845757253905406,592.4215925453047,6.0,1641676500.0,-9.343074501239796e-05,942.0,2.0,0.0,{'runtime': 7},3.695516536012292,0.9752152152152151,1000,40,3,0,dp-means++,1.0,50,30,finished,jy4gzpi5,graceful-sweep-2241,0.6
1000.0,1.7624996650085032e-12,0.6341075970488453,16062.283712352328,10.0,1641676502.0,0.0,1000.0,2.0,0.0,{'runtime': 10},7.901141168549657,0.959965965965966,1000,25,10,1,dp-means++,1.0,50,30,finished,jy4gzpi5,upbeat-sweep-2240,0.6
1000.0,1.819489963208398e-12,0.6347314222301335,28875.226345147577,11.0,1641676506.0,0.0,1000.0,2.0,0.0,{'runtime': 13},9.489013792946936,0.9603443443443443,1000,25,10,0,dp-means++,1.0,50,30,finished,jy4gzpi5,giddy-sweep-2239,0.6
937.0,0.0013028777153985282,0.6232775466492918,2740.2619784178323,8.0,1641676501.0,0.0002390997882740277,937.0,2.0,0.0,{'runtime': 8},5.293789640069008,0.959855855855856,1000,25,3,1,dp-means++,1.0,50,30,finished,jy4gzpi5,zesty-sweep-2238,0.6
910.0,0.0029397445105210627,0.6192098070052965,2200.562866215626,6.0,1641676494.0,0.0004054693942035341,910.0,2.0,0.0,{'runtime': 7},4.787252753973007,0.960176176176176,1000,25,3,0,dp-means++,1.0,50,30,finished,jy4gzpi5,kind-sweep-2237,0.6
1000.0,4.66027910666101e-13,0.3777566775780946,33035.18993174402,7.0,1641676493.0,0.0,1000.0,2.0,0.0,{'runtime': 8},5.67401179485023,0.8004424424424424,1000,5,10,1,dp-means++,1.0,50,30,finished,jy4gzpi5,prime-sweep-2236,0.6
1000.0,6.782282883098306e-13,0.37764897361046734,35938.04003099006,7.0,1641676487.0,0.0,1000.0,2.0,0.0,{'runtime': 8},5.45838518999517,0.8002042042042042,1000,5,10,0,dp-means++,1.0,50,30,finished,jy4gzpi5,woven-sweep-2235,0.6
917.0,0.006668289653895839,0.3648092687986164,3400.736474170765,6.0,1641676487.0,0.00026553417434796987,917.0,2.0,0.0,{'runtime': 7},4.458691347390413,0.8003823823823824,1000,5,3,1,dp-means++,1.0,50,30,finished,jy4gzpi5,major-sweep-2234,0.6
923.0,0.003212877064680866,0.3638236759204192,6417.672557727216,5.0,1641676483.0,0.00012052910425323484,923.0,2.0,0.0,{'runtime': 6},3.451250532642007,0.8001261261261261,1000,5,3,0,dp-means++,1.0,50,30,finished,jy4gzpi5,glamorous-sweep-2233,0.6
1000.0,2.3502046841181017e-12,0.6946742780443729,9298.534916147848,8.0,1641676485.0,0.0,1000.0,2.0,0.0,{'runtime': 10},6.974364560097456,0.9753393393393394,1000,40,10,0,dp-means++,0.5,50,30,finished,jy4gzpi5,golden-sweep-2231,0.6
1000.0,1.395569149128674e-12,0.6938612227032481,5210.863799148787,9.0,1641676486.0,0.0,1000.0,2.0,0.0,{'runtime': 11},7.414216397330165,0.974958958958959,1000,40,10,1,dp-means++,0.5,50,30,finished,jy4gzpi5,cosmic-sweep-2232,0.6
995.0,-0.00010698667460196924,0.6930047335647759,3469.355361842684,7.0,1641676479.0,-2.0012420820660227e-05,995.0,2.0,0.0,{'runtime': 9},5.547572962939739,0.9749489489489488,1000,40,3,1,dp-means++,0.5,50,30,finished,jy4gzpi5,stellar-sweep-2230,0.6
990.0,-0.0002107226132467158,0.6929623105093307,571.441435541095,9.0,1641676481.0,-4.000916176674612e-05,990.0,2.0,0.0,{'runtime': 9},6.077452938072383,0.9753193193193194,1000,40,3,0,dp-means++,0.5,50,30,finished,jy4gzpi5,noble-sweep-2229,0.6
1000.0,1.7624996650085032e-12,0.6341075970488453,16062.283712352328,11.0,1641676481.0,0.0,1000.0,2.0,0.0,{'runtime': 11},7.705795232206583,0.959965965965966,1000,25,10,1,dp-means++,0.5,50,30,finished,jy4gzpi5,super-sweep-2228,0.6
1000.0,1.819489963208398e-12,0.6347314222301335,28875.226345147577,11.0,1641676480.0,0.0,1000.0,2.0,0.0,{'runtime': 11},7.760528396815062,0.9603443443443443,1000,25,10,0,dp-means++,0.5,50,30,finished,jy4gzpi5,polished-sweep-2227,0.6
991.0,-0.000269096878066067,0.6324206554440254,2698.7960077181892,7.0,1641676472.0,-3.602112215773068e-05,991.0,2.0,0.0,{'runtime': 9},5.648788804188371,0.959947947947948,1000,25,3,1,dp-means++,0.5,50,30,finished,jy4gzpi5,electric-sweep-2226,0.6
983.0,0.0009597762945018996,0.6320227524348341,2158.5801866532943,4.0,1641676473.0,0.00012975797636190087,983.0,2.0,0.0,{'runtime': 6},3.31874592974782,0.9603163163163164,1000,25,3,0,dp-means++,0.5,50,30,finished,jy4gzpi5,golden-sweep-2225,0.6
1000.0,4.66027910666101e-13,0.3777566775780946,33035.18993174402,7.0,1641676467.0,0.0,1000.0,2.0,0.0,{'runtime': 8},5.3687326572835445,0.8004424424424424,1000,5,10,1,dp-means++,0.5,50,30,finished,jy4gzpi5,avid-sweep-2224,0.6
991.0,-0.0004158945027014011,0.37570259298526704,3347.922704627905,6.0,1641676466.0,-1.597076281590155e-05,991.0,2.0,0.0,{'runtime': 7},4.145888758823276,0.8004284284284284,1000,5,3,1,dp-means++,0.5,50,30,finished,jy4gzpi5,solar-sweep-2222,0.6
1000.0,6.782282883098306e-13,0.37764897361046734,35938.04003099006,9.0,1641676471.0,0.0,1000.0,2.0,0.0,{'runtime': 10},7.56211625598371,0.8002042042042042,1000,5,10,0,dp-means++,0.5,50,30,finished,jy4gzpi5,laced-sweep-2223,0.6
991.0,-0.000939384426210068,0.37526853247328007,6383.898832331862,6.0,1641676464.0,-3.603408492971897e-05,991.0,2.0,0.0,{'runtime': 7},4.239310087636113,0.8001861861861862,1000,5,3,0,dp-means++,0.5,50,30,finished,jy4gzpi5,sweepy-sweep-2221,0.6
1000.0,1.395569149128674e-12,0.6938612227032481,5210.863799148787,9.0,1641676466.0,0.0,1000.0,2.0,0.0,{'runtime': 11},7.551344998180866,0.974958958958959,1000,40,10,1,dp-means++,0.1,50,30,finished,jy4gzpi5,cool-sweep-2220,0.6
1000.0,1.395569149128674e-12,0.6938612227032481,3468.526479109923,9.0,1641676462.0,0.0,1000.0,2.0,0.0,{'runtime': 9},6.1613571010529995,0.974958958958959,1000,40,3,1,dp-means++,0.1,50,30,finished,jy4gzpi5,gallant-sweep-2218,0.6
1000.0,2.3502046841181017e-12,0.6946742780443729,9298.53491614784,10.0,1641676462.0,0.0,1000.0,2.0,0.0,{'runtime': 11},7.879022527486086,0.9753393393393394,1000,40,10,0,dp-means++,0.1,50,30,finished,jy4gzpi5,restful-sweep-2219,0.6
1000.0,2.3502046841181017e-12,0.6946742780443729,570.042590526989,8.0,1641676452.0,0.0,1000.0,2.0,0.0,{'runtime': 8},5.508955394849181,0.9753393393393394,1000,40,3,0,dp-means++,0.1,50,30,finished,jy4gzpi5,grateful-sweep-2217,0.6
1000.0,1.819489963208398e-12,0.6347314222301335,28875.226345147577,7.0,1641676451.0,0.0,1000.0,2.0,0.0,{'runtime': 9},5.794480023905635,0.9603443443443443,1000,25,10,0,dp-means++,0.1,50,30,finished,jy4gzpi5,expert-sweep-2215,0.6
1000.0,1.7624996650085032e-12,0.6341075970488453,16062.283712352328,11.0,1641676456.0,0.0,1000.0,2.0,0.0,{'runtime': 11},8.123612768948078,0.959965965965966,1000,25,10,1,dp-means++,0.1,50,30,finished,jy4gzpi5,youthful-sweep-2216,0.6
999.0,-2.9982049010795597e-05,0.6339203646401891,2694.065262479392,6.0,1641676445.0,-4.003819814290704e-06,999.0,2.0,0.0,{'runtime': 7},3.682185484096408,0.959963963963964,1000,25,3,1,dp-means++,0.1,50,30,finished,jy4gzpi5,rural-sweep-2214,0.6
1000.0,1.819489963208398e-12,0.6347314222301335,2150.33376226562,5.0,1641676446.0,0.0,1000.0,2.0,0.0,{'runtime': 7},3.928400943055749,0.9603443443443443,1000,25,3,0,dp-means++,0.1,50,30,finished,jy4gzpi5,earnest-sweep-2213,0.6
1000.0,4.66027910666101e-13,0.3777566775780946,33035.18993174401,12.0,1641676453.0,0.0,1000.0,2.0,0.0,{'runtime': 12},9.175451446324589,0.8004424424424424,1000,5,10,1,dp-means++,0.1,50,30,finished,jy4gzpi5,genial-sweep-2212,0.6
1000.0,6.782282883098306e-13,0.37764897361046734,35938.04003099006,10.0,1641676449.0,0.0,1000.0,2.0,0.0,{'runtime': 11},8.235041752457619,0.8002042042042042,1000,5,10,0,dp-means++,0.1,50,30,finished,jy4gzpi5,sleek-sweep-2211,0.6
1000.0,4.66027910666101e-13,0.3777566775780946,3343.074365540489,6.0,1641676443.0,0.0,1000.0,2.0,0.0,{'runtime': 6},3.9013429936021566,0.8004424424424424,1000,5,3,1,dp-means++,0.1,50,30,finished,jy4gzpi5,graceful-sweep-2210,0.6
1.0,-1.11336563212578e-17,0.0,396954.884805324,2.0,1641676438.0,0.0,1.0,2.0,0.0,{'runtime': 2},0.11798356845974922,0.02504104104104104,1000,40,10,1,dp-means++,500.0,10,30,finished,jy4gzpi5,lunar-sweep-2208,3.0
1000.0,6.782282883098306e-13,0.37764897361046734,6383.1294428689325,6.0,1641676442.0,0.0,1000.0,2.0,0.0,{'runtime': 8},4.818010600283742,0.8002042042042042,1000,5,3,0,dp-means++,0.1,50,30,finished,jy4gzpi5,fast-sweep-2209,0.6
1.0,2.9958677382435703e-17,0.0,375639.4277336683,2.0,1641676438.0,0.0,1.0,2.0,0.0,{'runtime': 3},0.1391037218272686,0.02466066066066066,1000,40,10,0,dp-means++,500.0,10,30,finished,jy4gzpi5,comfy-sweep-2207,3.0
